Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
183117795,"20 Aug 2014, 17:38:32",Work to home ,Ride,,4583,13.5,,,FALSE,,,activities/183117795.gpx,64.9,,4583,2847,13504.5,14.5,,85.1,,31.5,94.2,12.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186811083,"28 Aug 2014, 07:34:29",Morning commute ,Ride,,3296,15.95,,,FALSE,,,activities/186811083.gpx,64.9,,3296,3008,15951.1,18.5,,74.3,,19,83.6,7.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324357180,"13 Jun 2015, 08:08:19",Morning Run,Run,,1397,4.8,,,FALSE,,,activities/324357180.gpx,29.9,,1397,1262,4807,6.8,,42.1,,39,62.8,9.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466547617,"9 Jan 2016, 13:45:23",Wormwood Scrubs XC,Run,,3327,11.72,204,85,FALSE,,,activities/517785978.fit.gz,29.9,,3327,3321,11720.5,4.8,,38.2,,12.8,26.3,3.4,0,,,98,88,204,150,,,,,,85,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466808112,"16 Dec 2015, 06:53:55",Morning Run,Run,,2710,7.09,213,135,FALSE,,Adidas XCS,activities/518055282.fit.gz,29.9,,2710,2673,7089.2,3.9,,59.8,,39.2,63.3,11.5,0,,,91,84,213,168,,,,,,135,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466808117,"2 Jan 2016, 09:12:03",Morning Run,Run,,1459,4.89,182,41,FALSE,,Adidas XCS,activities/518055289.fit.gz,29.9,,1459,1458,4891.5,4.4,,44,,39.2,63.1,8.4,0,,,95,89,182,150,,,,,,41,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466808121,"15 Dec 2015, 22:18:40",Night Run,Run,,1222,4.33,161,22,FALSE,,Adidas XCS,activities/518055298.fit.gz,29.9,,1222,1221,4336.1,4.5,,0,,54.7,57.8,1.1,-0.1,,,94,86,161,141,,,,,,22,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476374476,"23 Jan 2016, 09:06:54",Morning Run,Run,,1293,4.87,196,20,FALSE,,Adidas XCS,activities/527708849.fit.gz,29.9,,1293,1288,4877.6,6.2,,44,,39.1,62.7,8.4,0,,,97,89,196,137,,,,,,20,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481216899,"27 Jan 2016, 06:59:48",Morning Run,Run,,1876,5.03,170,17,FALSE,,Adidas XCS,activities/532665120.fit.gz,29.9,,1876,1850,5034.2,3.4,,21.5,,39.2,62.4,8.2,0,,,89,83,170,128,,,,,,17,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482013230,"30 Jan 2016, 09:07:13",Morning Run,Run,,1500,4.84,182,37,FALSE,,Adidas XCS,activities/533477587.fit.gz,29.9,,1500,1497,4845.7,4.4,,42.9,,39.1,62.3,8.9,0,,,97,87,182,153,,,,,,37,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482013551,"30 Jan 2016, 14:50:27",South of England Cross Country Championships (15km) Hampstead Heath,Run,,4642,14.01,176,79,FALSE,,Adidas XCS,activities/533477931.fit.gz,29.9,,4642,4642,14009.2,4.6,,263.3,,48,117.2,15.3,0.1,,,93,83,176,141,,,,,,79,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486546608,"2 Feb 2016, 16:54:52",Afternoon Run,Run,,4401,3.88,189,69,FALSE,,Adidas XCS,activities/538077802.fit.gz,29.9,,4401,2044,3885,11,,0,,8.2,12.2,4.5,0.1,,,121,77,189,152,,,,,,69,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486546783,"3 Feb 2016, 06:55:30",Morning Run,Run,,2716,6.95,189,66,FALSE,,Adidas XCS,activities/538077977.fit.gz,29.9,,2716,2603,6958.5,11.9,,59.8,,39.2,62.9,11.5,0.1,,,90,82,189,153,,,,,,66,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488040045,"7 Feb 2016, 10:30:37",Watford half ,Run,,5668,20.94,197,230,FALSE,,Adidas XCS,activities/539598047.fit.gz,68,,5668,5667,20940.5,5.7,,208.4,,57.2,125.7,12,0,,,103,90,197,158,,,,,,230,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492326408,"13 Feb 2016, 09:05:38",Morning Run,Run,,1358,0.19,195,50,FALSE,,Adidas XCS,activities/543902362.fit.gz,30,,1358,1354,190.6,11.3,,0,,39.2,43,3.6,-1.1,,,97,59,195,134,,,,,,50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493402684,"14 Feb 2016, 10:30:48",Morning Run,Run,,2676,10.06,190,53,FALSE,,Adidas XCS,activities/544998957.fit.gz,30,,2676,2660,10066.9,5,,153.5,,51,115.8,14.1,0.1,,,101,90,190,136,,,379,,,53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503758204,"27 Feb 2016, 09:06:51",Morning Run,Run,,1247,4.9,161,11,FALSE,,Adidas XCS,activities/555542217.fit.gz,68,,1247,1241,4904,5.2,,44.1,,39,62.8,8.3,0,,,99,90,161,137,,,,,,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1172025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
